latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-2.22656,15.12321,305.96,3.92,1.84,2026-08-13,156,Aqua,MODIS,66,6.1NRT,287.88,62.05,N
-5.99889,14.80253,308.83,2.37,1.49,2026-08-13,1414,Aqua,MODIS,38,6.1NRT,293.66,15.38,D
-5.99251,15.78435,312.71,1.97,1.37,2026-08-13,1414,Aqua,MODIS,61,6.1NRT,294.71,17.68,D
-5.992,14.66739,312.96,2.43,1.5,2026-08-13,1414,Aqua,MODIS,62,6.1NRT,292.83,29.17,D
-5.9896,14.67389,311.47,2.43,1.5,2026-08-13,1414,Aqua,MODIS,55,6.1NRT,292.86,25.42,D
-5.98292,15.40358,311.22,2.12,1.41,2026-08-13,1414,Aqua,MODIS,51,6.1NRT,295.51,14.12,D
-5.98191,16.09372,314.2,1.86,1.33,2026-08-13,1414,Aqua,MODIS,65,6.1NRT,295.1,17.76,D
-5.98187,19.85834,316.45,1.07,1.03,2026-08-13,1414,Aqua,MODIS,64,6.1NRT,296.97,7.31,D
-5.98059,15.39818,312.39,2.12,1.41,2026-08-13,1414,Aqua,MODIS,60,6.1NRT,295.48,16.21,D
-5.98052,19.86763,315.65,1.07,1.03,2026-08-13,1414,Aqua,MODIS,62,6.1NRT,298.68,6.91,D
-5.97974,16.10967,318.61,1.86,1.33,2026-08-13,1414,Aqua,MODIS,72,6.1NRT,295.36,26.53,D
-5.97731,16.62859,315.92,1.69,1.28,2026-08-13,1414,Aqua,MODIS,68,6.1NRT,296.15,17.2,D
-5.97519,16.64339,314.05,1.68,1.28,2026-08-13,1414,Aqua,MODIS,58,6.1NRT,296.27,13.38,D
-5.97433,14.79222,320.58,2.37,1.49,2026-08-13,1414,Aqua,MODIS,75,6.1NRT,293.29,50.04,D
-5.97293,14.79877,328.95,2.37,1.49,2026-08-13,1414,Aqua,MODIS,83,6.1NRT,293.54,81.53,D
-5.97199,19.79929,321.02,1.08,1.04,2026-08-13,1414,Aqua,MODIS,73,6.1NRT,299.12,12.72,D
-5.97155,16.10227,325.48,1.86,1.33,2026-08-13,1414,Aqua,MODIS,80,6.1NRT,296.05,42.67,D
-5.97144,14.81264,318.17,2.36,1.48,2026-08-13,1414,Aqua,MODIS,72,6.1NRT,293.45,42.61,D
-5.97063,19.80863,312.67,1.07,1.03,2026-08-13,1414,Aqua,MODIS,52,6.1NRT,298.65,4.53,D
-5.96944,14.91905,319.4,2.31,1.47,2026-08-13,1414,Aqua,MODIS,73,6.1NRT,293.2,43.71,D
-5.96901,14.92599,323.83,2.31,1.47,2026-08-13,1414,Aqua,MODIS,78,6.1NRT,293.41,60.67,D
-5.96664,15.96835,323.34,1.9,1.35,2026-08-13,1414,Aqua,MODIS,78,6.1NRT,296.23,37.45,D
-5.96553,20.60619,318.35,1.02,1.01,2026-08-13,1414,Aqua,MODIS,65,6.1NRT,299.61,9.77,D
-5.95053,21.21295,311.41,1,1,2026-08-13,1414,Aqua,MODIS,43,6.1NRT,297.19,5.62,D
-5.94262,16.71322,328.48,1.66,1.27,2026-08-13,1414,Aqua,MODIS,82,6.1NRT,296.23,44.05,D
-5.9294,20.48243,311.99,1.02,1.01,2026-08-13,1414,Aqua,MODIS,50,6.1NRT,299.16,4.83,D
-5.92834,21.75252,316.51,1,1,2026-08-13,1414,Aqua,MODIS,69,6.1NRT,298.34,8.56,D
-5.9133,18.72496,319.9,1.21,1.09,2026-08-13,1414,Aqua,MODIS,67,6.1NRT,295.22,15.78,D
-5.91096,19.83825,311.04,1.07,1.03,2026-08-13,1414,Aqua,MODIS,30,6.1NRT,297.66,4.15,D
-5.90976,20.67976,319.4,1.02,1.01,2026-08-13,1414,Aqua,MODIS,71,6.1NRT,299.39,10.97,D
-5.90137,20.55124,316.7,1.02,1.01,2026-08-13,1414,Aqua,MODIS,66,6.1NRT,299.85,7.82,D
-5.90008,20.56013,320.27,1.02,1.01,2026-08-13,1414,Aqua,MODIS,72,6.1NRT,300.12,11.08,D
-5.89704,14.96941,310.9,2.29,1.46,2026-08-13,1414,Aqua,MODIS,56,6.1NRT,293.2,22.06,D
-5.89436,14.98892,309.17,2.28,1.46,2026-08-13,1414,Aqua,MODIS,44,6.1NRT,293.68,16.62,D
-5.88728,21.70389,312.49,1,1,2026-08-13,1414,Aqua,MODIS,59,6.1NRT,298,4.72,D
-5.88388,21.22412,313.4,1,1,2026-08-13,1414,Aqua,MODIS,48,6.1NRT,297.98,6.46,D
-5.8826,21.23286,311.37,1,1,2026-08-13,1414,Aqua,MODIS,24,6.1NRT,298.14,4.78,D
-5.88015,19.79956,320.83,1.07,1.03,2026-08-13,1414,Aqua,MODIS,72,6.1NRT,298.55,13.42,D
-5.87574,21.47865,309.62,1,1,2026-08-13,1414,Aqua,MODIS,35,6.1NRT,295.07,4.42,D
-5.87335,21.73764,317.41,1,1,2026-08-13,1414,Aqua,MODIS,70,6.1NRT,297.78,8.92,D
-5.87095,15.06513,314.22,2.24,1.45,2026-08-13,1414,Aqua,MODIS,65,6.1NRT,293.83,28.54,D
-5.8584,19.75816,330.04,1.08,1.04,2026-08-13,1414,Aqua,MODIS,82,6.1NRT,299.83,24.38,D
-5.85742,21.66361,311.94,1,1,2026-08-13,1414,Aqua,MODIS,57,6.1NRT,297.48,5.23,D
-5.85583,21.735,313.3,1,1,2026-08-13,1414,Aqua,MODIS,23,6.1NRT,299.02,5.19,D
-5.85041,19.29864,324.41,1.13,1.06,2026-08-13,1414,Aqua,MODIS,77,6.1NRT,299.3,16.42,D
-5.84846,15.50231,309.03,2.07,1.4,2026-08-13,1414,Aqua,MODIS,41,6.1NRT,293,6.74,D
-5.8435,14.59806,310.03,2.45,1.51,2026-08-13,1414,Aqua,MODIS,39,6.1NRT,292.09,19.98,D
-5.84275,20.87096,311.52,1.01,1,2026-08-13,1414,Aqua,MODIS,38,6.1NRT,297.63,3.91,D
-5.84255,23.06536,313.38,1.08,1.04,2026-08-13,1414,Aqua,MODIS,67,6.1NRT,297.83,7.76,D
-5.84241,20.31615,345.26,1.03,1.02,2026-08-13,1414,Aqua,MODIS,93,6.1NRT,300.67,46.66,D
-5.8411,20.32523,378.69,1.03,1.02,2026-08-13,1414,Aqua,MODIS,100,6.1NRT,300.52,146.56,D
-5.8398,20.3343,311.84,1.03,1.02,2026-08-13,1414,Aqua,MODIS,42,6.1NRT,297.29,2.53,D
-5.83612,14.56837,314.83,2.46,1.51,2026-08-13,1414,Aqua,MODIS,31,6.1NRT,292.04,30.99,D
-5.83578,23.98346,313.45,1.2,1.09,2026-08-13,1414,Aqua,MODIS,63,6.1NRT,294.31,12.59,D
-5.83354,23.2496,311.45,1.1,1.05,2026-08-13,1414,Aqua,MODIS,58,6.1NRT,297.75,5.9,D
-5.82905,21.17128,311.62,1,1,2026-08-13,1414,Aqua,MODIS,48,6.1NRT,298.32,4.1,D
-5.82859,21.29628,310.29,1,1,2026-08-13,1414,Aqua,MODIS,38,6.1NRT,297.92,4.03,D
-5.81398,14.91076,313.05,2.3,1.47,2026-08-13,1414,Aqua,MODIS,63,6.1NRT,292.72,29.96,D
-5.81206,21.01903,326.03,1,1,2026-08-13,1414,Aqua,MODIS,79,6.1NRT,298.76,17.63,D
-5.81078,21.0278,334.57,1,1,2026-08-13,1414,Aqua,MODIS,86,6.1NRT,300.27,28.79,D
-5.80912,23.04099,322.34,1.08,1.04,2026-08-13,1414,Aqua,MODIS,78,6.1NRT,296.66,17.88,D
-5.80883,23.96853,314.57,1.2,1.09,2026-08-13,1414,Aqua,MODIS,65,6.1NRT,291.31,14.41,D
-5.80768,23.05043,313.59,1.08,1.04,2026-08-13,1414,Aqua,MODIS,67,6.1NRT,297.03,8.86,D
-5.79741,14.8389,309.28,2.33,1.48,2026-08-13,1414,Aqua,MODIS,48,6.1NRT,292.53,17.21,D
-5.79684,19.92365,315.55,1.06,1.03,2026-08-13,1414,Aqua,MODIS,48,6.1NRT,299.43,6.7,D
-5.79661,14.84588,309.25,2.33,1.48,2026-08-13,1414,Aqua,MODIS,51,6.1NRT,292.46,18.04,D
-5.79115,20.91724,317.63,1.01,1,2026-08-13,1414,Aqua,MODIS,68,6.1NRT,299.92,9.32,D
-5.78986,20.92603,313.76,1.01,1,2026-08-13,1414,Aqua,MODIS,59,6.1NRT,298.7,5.66,D
-5.77881,16.40566,314.45,1.75,1.3,2026-08-13,1414,Aqua,MODIS,64,6.1NRT,295.83,13.42,D
-5.77749,19.93033,317.15,1.06,1.03,2026-08-13,1414,Aqua,MODIS,62,6.1NRT,299.7,8.06,D
-5.77667,16.4211,331.55,1.74,1.29,2026-08-13,1414,Aqua,MODIS,85,6.1NRT,296.38,54.77,D
-5.77009,21.81514,334.8,1.01,1,2026-08-13,1414,Aqua,MODIS,87,6.1NRT,295.09,30.39,D
-5.76952,20.6829,319.51,1.01,1.01,2026-08-13,1414,Aqua,MODIS,71,6.1NRT,300.37,9.87,D
-5.76569,21.03005,319.41,1,1,2026-08-13,1414,Aqua,MODIS,71,6.1NRT,296.33,10.43,D
-5.7542,15.06374,311.12,2.23,1.45,2026-08-13,1414,Aqua,MODIS,58,6.1NRT,293.38,21.38,D
-5.75324,15.05682,314.38,2.23,1.45,2026-08-13,1414,Aqua,MODIS,67,6.1NRT,293.43,29.5,D
-5.75036,20.75237,314.7,1.01,1.01,2026-08-13,1414,Aqua,MODIS,40,6.1NRT,299.51,7.47,D
-5.74682,19.88833,318.78,1.06,1.03,2026-08-13,1414,Aqua,MODIS,69,6.1NRT,300.91,9.36,D
